date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:32:57	76896/76896	---M-Z	200	added ('OK')	text/html	etag:%2212c60-5b26b7199b542-gzip%22	https://motaadmin.dexignlab.com/xhtml/app-calender.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/app-calender.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:32:57	82026/82026	---M-Z	200	added ('OK')	text/html	etag:%221406a-5b26b7214156b-gzip%22	https://motaadmin.dexignlab.com/xhtml/ecom-product-grid.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/ecom-product-grid.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:32:57	87873/87873	---M-Z	200	added ('OK')	text/html	etag:%2215741-5b26b721de671-gzip%22	https://motaadmin.dexignlab.com/xhtml/ecom-product-list.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/ecom-product-list.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:32:57	78963/78963	---M-Z	200	added ('OK')	text/html	etag:%2213473-5b26b720a8580-gzip%22	https://motaadmin.dexignlab.com/xhtml/ecom-product-detail.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/ecom-product-detail.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:32:58	112445/112445	---M-Z	200	added ('OK')	text/html	etag:%221b73d-5b26b722b60f7-gzip%22	https://motaadmin.dexignlab.com/xhtml/ecom-product-order.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/ecom-product-order.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:32:58	87286/87286	---M-Z	200	added ('OK')	text/html	etag:%22154f6-5b26b71ea7a5d-gzip%22	https://motaadmin.dexignlab.com/xhtml/ecom-checkout.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/ecom-checkout.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:32:58	79003/79003	---M-Z	200	added ('OK')	text/html	etag:%221349b-5b26b72005954-gzip%22	https://motaadmin.dexignlab.com/xhtml/ecom-invoice.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/ecom-invoice.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:32:58	126244/126244	---M-Z	200	added ('OK')	text/html	etag:%221ed24-5b26b71f54fce-gzip%22	https://motaadmin.dexignlab.com/xhtml/ecom-customers.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/ecom-customers.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:32:59	76411/76411	---M-Z	200	added ('OK')	text/html	etag:%2212a7b-5b26b71c420a5-gzip%22	https://motaadmin.dexignlab.com/xhtml/chart-flot.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/chart-flot.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:32:59	74665/74665	---M-Z	200	added ('OK')	text/html	etag:%22123a9-5b26b71cda38b-gzip%22	https://motaadmin.dexignlab.com/xhtml/chart-morris.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/chart-morris.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:00	79061/79061	---M-Z	200	added ('OK')	text/html	etag:%22134d5-5b26b71baaac4-gzip%22	https://motaadmin.dexignlab.com/xhtml/chart-chartjs.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/chart-chartjs.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:00	82052/82052	---M-Z	200	added ('OK')	text/html	etag:%2214084-5b26b71af531e-gzip%22	https://motaadmin.dexignlab.com/xhtml/chart-chartist.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/chart-chartist.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:00	75915/75915	---M-Z	200	added ('OK')	text/html	etag:%221288b-5b26b71e0a957-gzip%22	https://motaadmin.dexignlab.com/xhtml/chart-sparkline.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/chart-sparkline.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:00	84379/84379	---M-Z	200	added ('OK')	text/html	etag:%221499b-5b26b71d7407c-gzip%22	https://motaadmin.dexignlab.com/xhtml/chart-peity.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/chart-peity.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:01	121872/121872	---M-Z	200	added ('OK')	text/html	etag:%221dc10-5b26b7369d47f-gzip%22	https://motaadmin.dexignlab.com/xhtml/ui-accordion.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/ui-accordion.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:01	156294/156294	---M-Z	200	added ('OK')	text/html	etag:%2226286-5b26b7375ef75-gzip%22	https://motaadmin.dexignlab.com/xhtml/ui-alert.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/ui-alert.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:01	88517/88517	---M-Z	200	added ('OK')	text/html	etag:%22159c5-5b26b73809dd6-gzip%22	https://motaadmin.dexignlab.com/xhtml/ui-badge.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/ui-badge.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
12:33:01	101432/101432	---M-Z	200	added ('OK')	text/html	etag:%2218c38-5b26b738b4c36-gzip%22	https://motaadmin.dexignlab.com/xhtml/ui-button.html	C:/My%20Web%20Sites/Starex/motaadmin.dexignlab.com/xhtml/ui-button.html	(from https://motaadmin.dexignlab.com/xhtml/index.html)
